season,division,matchday,date,home_team,away_team,score,year,month,weekday,home_goals,away_goals,result,target,home_team_avg_goals_for,home_team_avg_goals_against,away_team_avg_goals_for,away_team_avg_goals_against,avg_goals_for_combined,avg_goals_against_combined,home_team_avg_goals_for,home_team_avg_goals_against,away_team_avg_goals_for,away_team_avg_goals_against
1990-1991,1,10,1990-11-04,Real Sociedad,Real Valladolid,1:1,1990,11,6,1.0,1.0,X,1,1.0,0.5,0.0,2.5,0.5,1.5,1.0,1.0,0.5,1.5
1990-1991,1,10,1990-11-04,Real Zaragoza,Athletic,1:0,1990,11,6,1.0,0.0,1,0,1.0,1.0,0.5,2.5,0.75,1.75,3.0,1.0,1.0,1.0
1990-1991,1,10,1990-11-04,RCD Mallorca,CA Osasuna,1:1,1990,11,6,1.0,1.0,X,1,1.0,0.5,1.5,1.5,1.25,1.0,1.0,0.0,0.5,0.5
1990-1991,1,10,1990-11-04,Cádiz CF,CD Tenerife,1:2,1990,11,6,1.0,2.0,2,2,0.5,0.5,1.0,4.0,0.75,2.25,0.5,0.5,1.0,4.0
1990-1991,1,10,1990-11-04,Real Madrid,Espanyol,2:1,1990,11,6,2.0,1.0,1,0,1.0,0.0,0.5,0.5,0.75,0.25,1.0,0.5,1.5,1.5
1990-1991,1,10,1990-11-04,CD Logroñés,Real Betis,1:0,1990,11,6,1.0,0.0,1,0,1.0,1.0,0.5,1.5,0.75,1.25,1.0,1.0,0.5,2.5
1990-1991,1,10,1990-11-04,CD Castellón,Atlético Madrid,0:0,1990,11,6,0.0,0.0,X,1,3.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,0.0,2.5
1990-1991,1,13,1990-12-01,Real Valladolid,Real Madrid,0:1,1990,12,5,0.0,1.0,2,2,1.0,1.0,0.5,1.5,0.75,1.25,1.0,1.0,0.5,1.5
1990-1991,1,13,1990-12-02,Real Betis,Espanyol,1:2,1990,12,6,1.0,2.0,2,2,2.0,2.0,0.6666666666666666,1.0,1.3333333333333333,1.5,1.5,0.5,1.0,1.0
1990-1991,1,13,1990-12-02,Burgos CF,Valencia,0:0,1990,12,6,0.0,0.0,X,1,1.0,0.0,1.0,2.3333333333333335,1.0,1.1666666666666667,2.0,1.5,0.0,1.0
1990-1991,1,13,1990-12-02,CD Castellón,Sevilla FC,0:0,1990,12,6,0.0,0.0,X,1,2.0,0.6666666666666666,0.0,0.0,1.0,0.3333333333333333,2.0,1.0,1.0,0.0
1990-1991,1,13,1990-12-02,CD Tenerife,Real Oviedo,1:2,1990,12,6,1.0,2.0,2,2,1.0,0.0,0.5,1.0,0.75,0.5,2.0,0.0,0.0,1.0
1990-1991,1,13,1990-12-02,Barcelona,RCD Mallorca,2:1,1990,12,6,2.0,1.0,1,0,2.3333333333333335,0.6666666666666666,2.0,1.0,2.166666666666667,0.8333333333333333,2.3333333333333335,0.6666666666666666,2.0,1.0
1990-1991,1,13,1990-12-02,Sporting Gijón,Cádiz CF,3:1,1990,12,6,3.0,1.0,1,0,2.0,0.0,0.0,1.0,1.0,0.5,1.0,0.0,0.5,1.0
1990-1991,1,13,1990-12-02,Athletic,CD Logroñés,1:1,1990,12,6,1.0,1.0,X,1,2.0,1.0,1.0,0.0,1.5,0.5,2.0,0.6666666666666666,0.0,0.0
1990-1991,1,13,1990-12-02,Atlético Madrid,Real Zaragoza,4:0,1990,12,6,4.0,0.0,1,0,2.0,1.5,0.0,1.0,1.0,1.25,1.0,0.0,1.0,2.3333333333333335
1990-1991,1,13,1990-12-02,CA Osasuna,Real Sociedad,3:1,1990,12,6,3.0,1.0,1,0,1.5,0.5,1.0,1.0,1.25,0.75,2.0,2.0,0.6666666666666666,1.0
1990-1991,1,14,1990-12-08,Cádiz CF,Atlético Madrid,0:1,1990,12,5,0.0,1.0,2,2,0.6666666666666666,1.0,0.5,0.5,0.5833333333333333,0.75,0.6666666666666666,1.0,0.5,0.5
1990-1991,1,14,1990-12-09,Valencia,Real Betis,3:1,1990,12,6,3.0,1.0,1,0,1.0,1.0,0.3333333333333333,1.3333333333333333,0.6666666666666666,1.1666666666666665,1.0,0.6666666666666666,1.0,1.5
1990-1991,1,14,1990-12-09,Sevilla FC,Burgos CF,1:2,1990,12,6,1.0,2.0,2,2,1.3333333333333333,0.0,0.3333333333333333,0.6666666666666666,0.8333333333333333,0.3333333333333333,0.0,1.0,0.3333333333333333,2.0
1990-1991,1,14,1990-12-09,RCD Mallorca,CD Castellón,0:0,1990,12,6,0.0,0.0,X,1,1.0,0.6666666666666666,0.0,1.0,0.5,0.8333333333333333,1.0,0.6666666666666666,0.5,0.0
1990-1991,1,14,1990-12-09,Real Zaragoza,Barcelona,0:2,1990,12,6,0.0,2.0,2,2,1.0,0.6666666666666666,0.5,0.0,0.75,0.3333333333333333,1.5,0.5,1.3333333333333333,3.0
1990-1991,1,14,1990-12-09,Real Madrid,CD Tenerife,3:0,1990,12,6,3.0,0.0,1,0,1.5,0.5,1.3333333333333333,3.0,1.4166666666666665,1.75,1.3333333333333333,0.0,0.3333333333333333,0.6666666666666666
1990-1991,1,14,1990-12-09,Espanyol,Real Valladolid,2:0,1990,12,6,2.0,0.0,1,0,0.0,1.0,0.3333333333333333,2.0,0.16666666666666666,1.5,1.0,1.0,0.3333333333333333,1.3333333333333333
1990-1991,1,14,1990-12-09,Real Sociedad,Sporting Gijón,1:0,1990,12,6,1.0,0.0,1,0,1.0,0.6666666666666666,1.0,1.5,1.0,1.0833333333333333,1.0,0.6666666666666666,0.0,1.0
1990-1991,1,17,1991-01-05,Athletic,Valencia,0:2,1991,1,5,0.0,2.0,2,2,1.5,1.0,0.75,1.75,1.125,1.375,1.5,1.0,0.75,1.75
1990-1991,1,17,1991-01-06,Barcelona,CD Logroñés,2:1,1991,1,6,2.0,1.0,1,0,2.25,0.75,1.0,0.5,1.625,0.625,1.5,0.5,1.0,2.0
1990-1991,1,17,1991-01-06,Burgos CF,Real Valladolid,0:1,1991,1,6,0.0,1.0,2,2,0.5,0.0,0.25,2.0,0.375,1.0,2.25,0.75,1.0,0.5
1990-1991,1,17,1991-01-06,Sevilla FC,Cádiz CF,2:1,1991,1,6,2.0,1.0,1,0,1.25,0.5,0.5,2.0,0.875,1.25,0.5,0.0,0.25,2.0
1990-1991,1,17,1991-01-06,Sporting Gijón,Real Madrid,0:2,1991,1,6,0.0,2.0,2,2,2.3333333333333335,0.3333333333333333,0.6666666666666666,1.0,1.5,0.6666666666666666,1.25,0.5,0.5,2.0
1990-1991,1,17,1991-01-06,CA Osasuna,Espanyol,1:0,1991,1,6,1.0,0.0,1,0,2.0,0.6666666666666666,1.0,1.0,1.5,0.8333333333333333,2.3333333333333335,0.3333333333333333,0.6666666666666666,1.0
1990-1991,1,17,1991-01-06,CD Castellón,Real Sociedad,1:1,1991,1,6,1.0,1.0,X,1,1.5,0.5,1.0,2.0,1.25,1.25,2.0,0.6666666666666666,1.0,1.0
1990-1991,1,17,1991-01-06,Atlético Madrid,Real Oviedo,0:0,1991,1,6,0.0,0.0,X,1,2.6666666666666665,1.0,1.0,1.0,1.8333333333333333,1.0,2.6666666666666665,1.0,1.0,1.0
1990-1991,1,17,1991-01-06,CD Tenerife,Real Betis,1:1,1991,1,6,1.0,1.0,X,1,1.0,1.0,0.5,1.75,0.75,1.375,1.0,1.0,0.5,1.75
1990-1991,1,17,1991-01-06,RCD Mallorca,Real Zaragoza,3:2,1991,1,6,3.0,2.0,1,0,0.75,0.5,0.0,2.5,0.375,1.5,0.75,0.5,0.0,2.5
1990-1991,1,18,1991-01-12,Real Madrid,Atlético Madrid,0:3,1991,1,5,0.0,3.0,2,2,2.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,1.3333333333333333,0.3333333333333333,2.0,0.3333333333333333,0.6666666666666666,0.3333333333333333
1990-1991,1,21,1991-02-02,Valencia,Barcelona,2:2,1991,2,5,2.0,2.0,X,1,2.0,1.0,1.0,0.0,1.5,0.5,2.0,1.0,1.0,0.0
1990-1991,1,21,1991-02-03,CD Logroñés,Real Zaragoza,1:1,1991,2,6,1.0,1.0,X,1,1.0,0.6666666666666666,0.6666666666666666,2.6666666666666665,0.8333333333333333,1.6666666666666665,1.0,0.5,0.6666666666666666,2.0
1990-1991,1,21,1991-02-03,Real Valladolid,Sporting Gijón,0:0,1991,2,6,0.0,0.0,X,1,0.5,1.0,0.6666666666666666,1.3333333333333333,0.5833333333333333,1.1666666666666665,1.5,1.0,0.0,0.0
